,Review_title,Review_text,Ratings
0,Excellent,Damnnn this product is just amazing. Super smooth and water like display. Loved it.,5
1,Mind-blowing purchase,Very good laptop with stylish and compact design and its performance is also good in this price segment.,5
2,Simply awesome,"Really much good and. Works faster, excellent Display, multiple apps working very fast. Internet connectivity is good in the low network area…",5
3,Nice product,"Everything is fine
Display is awesome 8k video smoothly run
I3 4 core processor is awesome in this price range
Battery 4-5 hours normal use

But office suit works online
Build quality cheap but ok for this price range whose provide i3 4 core 8 thread processes.",4
4,Worth the money,"Product has good screen but average build quality. Win 11 is smooth and other hp support is good. Keyword feels of average quality, when we type the laptop vibrate along with screen.

Value for money at this price range..",4
5,Does the job,"Packing is not good,not pre installed window,Don't buy battery backup not good",3
6,Awesome,Excellent product and good quality..,5
7,Perfect product!,Very good product,5
8,Very Good,"Smooth performance, good for daily and casual use.
Good for coding and business use.

Build quality is not upto the mark, keyboard and trackpad is loosely assembled. Makes sound and feels loose while pressing keyboard.",4
9,Awesome,Good,5
10,Excellent,Damnnn this product is just amazing. Super smooth and water like display. Loved it.,5
11,Mind-blowing purchase,Very good laptop with stylish and compact design and its performance is also good in this price segment.,5
12,Simply awesome,"Really much good and. Works faster, excellent Display, multiple apps working very fast. Internet connectivity is good in the low network area…",5
13,Nice product,"Everything is fine
Display is awesome 8k video smoothly run
I3 4 core processor is awesome in this price range
Battery 4-5 hours normal use

But office suit works online
Build quality cheap but ok for this price range whose provide i3 4 core 8 thread processes.",4
14,Worth the money,"Product has good screen but average build quality. Win 11 is smooth and other hp support is good. Keyword feels of average quality, when we type the laptop vibrate along with screen.

Value for money at this price range..",4
15,Does the job,"Packing is not good,not pre installed window,Don't buy battery backup not good",3
16,Awesome,Excellent product and good quality..,5
17,Perfect product!,Very good product,5
18,Very Good,"Smooth performance, good for daily and casual use.
Good for coding and business use.

Build quality is not upto the mark, keyboard and trackpad is loosely assembled. Makes sound and feels loose while pressing keyboard.",4
19,Awesome,Good,5
20,Fabulous!,Super handy product,5
21,Classy product,Product is good & delivery on time,5
22,Delightful,Very smooth..,4
23,Fabulous!,Good quality product with beast performance. Value for money product,5
24,Worth every penny,Nice product and very comfortable 👌,5
25,Delightful,"Battery backup little low
Performance is awesome",4
26,Mind-blowing purchase,I received beefore 3 days sound quality is awesome and quality of display also gooddont think it go for it good value for budeget,5
27,Worth every penny,Perfect laptop for me .,5
